Github ID,Contributor Type,Avatar URL,2016-07-24,2016-07-31,2016-08-07,2016-08-14,2016-08-21,2016-08-28,2016-09-04,2016-09-11,2016-09-18,2016-09-25,2016-10-02,2016-10-09,2016-10-16,2016-10-23,2016-10-30,2016-11-06,2016-11-13,2016-11-20,2016-11-27,2016-12-04,2016-12-11,2016-12-18,2016-12-25,2017-01-01,2017-01-08,2017-01-15,2017-01-22,2017-01-29,2017-02-05,2017-02-12,2017-02-19,2017-02-26,2017-03-05,2017-03-12,2017-03-19,2017-03-26,2017-04-02,2017-04-09,2017-04-16,2017-04-23,2017-04-30,2017-05-07,2017-05-14,2017-05-21,2017-05-28,2017-06-04,2017-06-11,2017-06-18,2017-06-25,2017-07-02,2017-07-09,2017-07-16,2017-07-23,2017-07-30,2017-08-06,2017-08-13,2017-08-20,2017-08-27,2017-09-03,2017-09-10,2017-09-17,2017-09-24,2017-10-01,2017-10-08,2017-10-15,2017-10-22,2017-10-29,2017-11-05,2017-11-12,2017-11-19,2017-11-26,2017-12-03,2017-12-10,2017-12-17,2017-12-24,2017-12-31,2018-01-07,2018-01-14,2018-01-21,2018-01-28,2018-02-04,2018-02-11,2018-02-18,2018-02-25,2018-03-04,2018-03-11,2018-03-18,2018-03-25,2018-04-01,2018-04-08,2018-04-15,2018-04-22,2018-04-29,2018-05-06,2018-05-13,2018-05-20,2018-05-27,2018-06-03,2018-06-10,2018-06-17,2018-06-24,2018-07-01,2018-07-08,2018-07-15,2018-07-22,2018-07-29,2018-08-05,2018-08-12,2018-08-19,2018-08-26,2018-09-02,2018-09-09,2018-09-16,2018-09-23,2018-09-30,2018-10-07,2018-10-14,2018-10-21,2018-10-28,2018-11-04,2018-11-11,2018-11-18,2018-11-25,2018-12-02,2018-12-09,2018-12-16,2018-12-23,2018-12-30,2019-01-06,2019-01-13,2019-01-20,2019-01-27,2019-02-03,2019-02-10,2019-02-17,2019-02-24,2019-03-03,2019-03-10,2019-03-17,2019-03-24,2019-03-31,2019-04-07,2019-04-14,2019-04-21,2019-04-28,2019-05-05,2019-05-12,2019-05-19,2019-05-26,2019-06-02,2019-06-09,2019-06-16,2019-06-23,2019-06-30,2019-07-07,2019-07-14,2019-07-21,2019-07-28,2019-08-04,2019-08-11,2019-08-18,2019-08-25,2019-09-01,2019-09-08,2019-09-15,2019-09-22,2019-09-29,2019-10-06,2019-10-13,2019-10-20,2019-10-27,2019-11-03,2019-11-10,2019-11-17,2019-11-24,2019-12-01,2019-12-08,2019-12-15,2019-12-22,2019-12-29,2020-01-05,2020-01-12,2020-01-19,2020-01-26,2020-02-02,2020-02-09,2020-02-16,2020-02-23,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02
lilin90,,https://avatars1.githubusercontent.com/u/30922556?v=4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,5,18,22,36,36,58,59,61,63,64,68,76,81,83,86,95,98,100,109,115,123,129,136,136,142,156,163,182,192,196,207,223,240,256,270,275,281,289,294,298,316,317,322,328,334,338,341,353,357,359,364,365,369,383,395,401,403,416,430,439,446,455,470,480,499,505,515,523,531,532,538,576,586,590,590,608,645,676,715,723,734,759,774,776,789,793,796,801,806,808,808,811,819,831,847,855,863,864,865,874,874,883,892,897,902,903,903,905,905,906,911,915,915,919,929,931,932,936,938,941,941,941,941,941,941,941,941,943,943,944,945,952,955,961,973,977,978,978,978,982,982,982,986,986,988,990,993,998,998,1000,1002,1004,1005
CaitinChen,,https://avatars2.githubusercontent.com/u/34535727?v=4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,4,8,8,8,8,8,9,12,20,20,20,20,20,20,20,29,33,38,40,42,43,44,44,44,44,47,48,52,52,52,54,54,56,67,72,82,92,103,109,120,126,129,134,137,140,142,144,147,154,154,161,197,206,210,216,233,240,250,266,290,305,312,319,330,342,362,368,387,394,416,434,441,446,448,450,467,473,478,492,494,514,514,515,515,520,522,522,530,532,532,532,538,540,541,541,542,546,546,546,546,546,546,548,548,551,554,555,557,557,558,558,558,558,562,562,565,566,568,568,576,576,579,583,583,586,586,586,586
yikeke,,https://avatars1.githubusercontent.com/u/40977455?v=4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,8,9,10,18,20,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,26,26,33,33,35,38,53,67,70,71,71,83,87,89,89,89,96,97,101,102,108,111,143,156,171,200,212,229,237,242,251,252,252,267,270,273,274,274,277,278,279,282,288,291,291,292,299,300,303,313,313,320,323,324,324,326,328,337,340,344,346,348,351,366,369,377,380,381,385,390,390,396,397,416,425,445,455,461,463,471,484,490
aylei,,https://avatars1.githubusercontent.com/u/18556593?v=4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,109,117,117,131,144,169,184,186,188,189,190,190,190,190,190,190,190,190,190,194,194,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,200,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202
crazycs520,,https://avatars2.githubusercontent.com/u/26020263?v=4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,7,9,15,17,19,19,19,19,21,39,42,42,45,51,51,51,51,65,67,68,68,68,76,76,84,120,126,126,139,139,139,139,139,157,160,161,161,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,175,176,176,176,176,178,179,179,179,179,180,180,180,181,181,182,182,182,184,184,184,185,185,185,186,186
dcalvin,,https://avatars2.githubusercontent.com/u/2503903?v=4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,6,30,40,45,45,45,63,63,76,78,78,79,83,99,108,124,128,131,154,163,165,166,172,183,184,188,189,195,195,195,196,199,199,202,203,206,216,216,218,218,218,218,218,218,220,220,220,220,220,220,220,220,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221
TomShawn,,https://avatars0.githubusercontent.com/u/41534398?v=4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,9,14,14,16,22,36,40,52,52,57,63,67,70,77,80,85,88,98,106,111,120,123,123,134,139,141,150,152,155,160,163,174,178,178,180,181,189,194,201,220,228,237,243,253,266,278,286,291,312,312,318,327,341,349,349,361,371,383,392,399,401
LinuxGit,,https://avatars0.githubusercontent.com/u/1552622?v=4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,3,3,5,7,7,7,8,10,12,12,13,13,13,13,14,18,18,18,18,18,18,18,18,18,23,25,26,26,33,38,40,43,43,43,44,44,48,51,51,51,52,56,61,65,66,66,66,66,67,74,81,84,84,87,89,89,89,89,89,93,96,96,99,104,105,105,105,105,105,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,108,108,108,108,108,108,108,108,108,108,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
cofyc,,https://avatars3.githubusercontent.com/u/91730?v=4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,24,24,24,24,25,27,35,37,41,41,83,86,86,93,95,95,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,98,98,101,101,101,101,108,109,109,109,109,109,109,110,112,113,113,113,115,115,117,118,120,120,120,120
liubo0127,,https://avatars0.githubusercontent.com/u/28344969?v=4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,8,8,8,8,8,8,9,9,10,11,12,12,13,13,15,16,16,16,16,16,17,18,18,19,21,21,23,23,23,23,23,23,34,36,36,36,36,36,36,36,36,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,40,41,42,42,42,42,43,43,44,44,44,44,44,44,44,44,45,45,46,47,47,47,47,47,48,48,48,48,48,48,48,48,50,50,51,79,79,79,80,80,80,80,80,80,80,80,80,80,81,82,82,83,83,83,84,84,84,84,84,84,84,84,84,84,84,84,84,85,85,88,88,88,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89
